01234567891996930000825020Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                                                  JN150299 850UX  911786 !   
01234567891991192423732292Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       8500 NARVIK                NJ150299 918NX  310942 !   
01234567891991751143363900Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       8082 LEINES                JN1502991141NX  245829 !   
01234567891996790000702177Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                            DEUTSCHLAND           JN15029912 7UX46910031 !   
01234567891990633138150198Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       9700 LAKSELV               JN1502991331NX46289798 !   
01234567891991546799712990Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       8310 KABELV]G              JJ1502991343NX46315193 !   
01234567891990705883299386Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       0168 OSLO                  JN160299 916NX  291223 !   
01234567891990843306529806Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       4012 STAVANGER             JN1602991016NX  227317 !   
01234567891996930000825095Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                                                  JN1602991214UX47911787 !   
01234567891991195414299452Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5700 VOSS                  JN1602991342NX47227543 !   
01234567891990777485177708Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1900 FETSUND               JN1602991410NX  208464 !   
01234567891991268151367707Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       2093 FEIRING               JN170299 919NX  180949 !   
01234567891991266422287209Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5713 VOSSESTRAND           JN170299 922NX  147640 !   
01234567891990425924659163Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       2800 GJ\VIK                JN1702991010NX  325143 !   
01234567891990986758468922Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       4614 KRISTIANSAND S        JJ1702991116NX  258798 !   
01234567891991756764785026Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1791 TISTEDAL              JN1702991313NX  205609 !   
01234567891991896848420958Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       3734 SKIEN                 JN1702991327NX  328100 !   
01234567891991056841123170Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7120 LEKSVIK               NJ180299 919NX  270983 !   
01234567891991408816382192Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       2820 BIRI                  NJ180299 932NX  196974 !   
01234567891990491837160780Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1320 STABEKK               JN1802991038NX  242914 !   
01234567891990983348559062Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7043 TRONDHEIM             JN1802991310NX  287030 !   
01234567891991126849288042Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7016 TRONDHEIM             JN1802991311NX  279370 !   
01234567891991058780782719Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1300 SANDVIKA              JJ1802991314NX  194304 !   
01234567891991263957574259Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       8011 BOD\                  JJ190299 913NX  256402 !   
01234567891991123257079005Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       0390 OSLO                  JN190299 939NX  237586 !   
01234567891991123944168765Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7700 STEINKJER             JN1902991049NX  261110 !   
01234567891991194448442956Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       4890 GRIMSTAD              NJ19029912 5NX   97634 !   
01234567891996930000825160Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                            DANMARK               JN19029913 5UX79911788 !   
01234567891990631122348505Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7020 TRONDHEIM             JJ220299 934NX  204215 !   
01234567891990564678346336Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       2686 LOM                   JN220299 950NX   92863 !   
01234567891991470997275025Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5687 FLATR]KER             JN22029912 7NX   10798 !   
01234567891990701031727907Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       8280 KJ\PSVIK              JN2202991219NX    5017 !   
01234567891991263179733345Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5079 OLSVIK                NJ22029914 0NX  217823 "   
01234567891990845462037003Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       9180 SKJERV\Y              NJ230299 9 9NX  334656 !   
01234567891991267324529243Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       9900 KIRKENES              JJ2302991013NX  165249 !   
01234567891991057422684432Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       9520 KAUTOKEINO            NJ2302991039NX  254621 !   
01234567891990491793491989Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       4330 ]LG]RD                JJ2302991311NX   19822 !   
01234567891992036526728609Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1166 OSLO                  NJ240299 921NX  237297 !   
01234567891991125364264644Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7070 BOSBERG               NJ240299 929NX  114079 !   
01234567891990841620482579Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       2640 VINSTRA               JN240299 946NX   22334 !   
01234567891990286022953936Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       3046 DRAMMEN               JN24029910 2NX  124224 !   
01234567891990561136599878Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7870 GRONG                 NJ24029910 8NX    4152 !   
01234567891990701116381562Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       3300 HOKKSUND              JJ2402991133NX  264804 !   
01234567891991405434611283Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       9845 TANA                  JN24029912 2NX  256807 !   
01234567891990141886009723Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       2322 RIDABU                NJ24029912 9NX  233326 !   
01234567891991825386110101Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7080 HEIMDAL               JJ250299 917NX  316461 !   
01234567891990356694345776Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1555 SON                   NJ250299 923NX  140793 !   
01234567891990428864547372Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       4534 MARNARDAL             JN25029911 1NX  189892 !   
01234567891990706079078113Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7500 STJ\RDAL              NJ2502991311NX  276189 !   
01234567891990705245808684Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       9410 BORKENES              JJ2502991338NX  270490 !   
01234567891991896785571805Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1347 HOSLE                 NJ260299 918NX  153828 !   
01234567891991263179733345Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5071 LODDEFJORD            NJ2602991040NX  217823 !   
01234567891992034651007691Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       8646 KORGEN                JN2602991344NX  104806 !   
01234567891991191864500473Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       2740 ROA                   JN0103991024NX  245272 !   
01234567891990074573207179Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1341 SLEPENDEN             NJ0103991037NX   88747 !   
01234567891991407458172754Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5110 FREKHAUG              NJ0103991113NX  166531 !   
01234567891991964664235874Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5019 BERGEN                JN0103991155NX  104273 !   
01234567891990563957698011Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       6893 VIK I SOGN            NJ030399 9 6NX  223284 !   
01234567891990352564812045Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       9990 B]TSFJORD             NJ030399 932NX  321166 !   
01234567891991403943166501Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       8470 B\ I VESTER]LEN       NJ0303991029NX  207078 !   
01234567891990772521715074Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       4370 EGERSUND              NJ040399 951NX   38364 !   
01234567891990916008349622Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5046 R]DAL                 JN04039911 5NX  275071 !   
01234567891990211906180570Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5551 AUKLANDSHAMN          JN0403991237NX  267973 !   
01234567891990428697468648Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       2683 TESSANDEN             JN0403991311NX  189585 !   
01234567891990776021915621Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       3045 DRAMMEN               JN0403991320NX  234746 !   
01234567891991752649196620Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5457 H\YLANDSBYGD          JN080399 950NX  287439 "   
01234567891991752649196620Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       5457 H\YLANDSBYGD          JN080399 952NX  287439 "   
01234567891991968815837660Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1445 HEER                  JN080399 955NX  200960 !   
01234567891992175273393090Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1440 DR\BAK                NJ0903991230NX  121988 !   
01234567891991472522699695Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       9018 TROMS\                NJ10039910 1NX   44504 !   
01234567891990638214323817Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       7043 TRONDHEIM             JN1103991032NX  238424 !   
01234567891991196050575650Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                       1340 BEKKESTUA             JJ1103991139NX  131040 !   
01234567891996650000571131Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                            DANMARK               JN1203991012UX51908159 !   
01234567891996930000825236Per Pettersen                                     Adresse 1                       Adresse 2                       Adresse 3                       Adresse 4                            DANMARK               JN1203991026UX60911789 !   
